state,county,seg,conf,value
Missouri,Johnson,Parks,0,
Missouri,Johnson,Residential,0,16.0
Missouri,Johnson,Retail & recreation,1,-28.0
Missouri,Johnson,Transit stations,0,
Missouri,Johnson,Workplace,1,-20.0
Missouri,Laclede,Grocery & pharmacy,1,-2.0
Missouri,Laclede,Parks,0,
Missouri,Laclede,Residential,0,13.0
Missouri,Laclede,Retail & recreation,1,-21.0
Missouri,Laclede,Transit stations,0,
Missouri,Laclede,Workplace,1,-22.0
Missouri,Lafayette,Grocery & pharmacy,1,-8.0
Missouri,Lafayette,Parks,0,
Missouri,Lafayette,Residential,0,13.0
Missouri,Lafayette,Retail & recreation,1,-24.0
Missouri,Lafayette,Transit stations,1,-19.0
Missouri,Lafayette,Workplace,1,-24.0
Missouri,Lawrence,Grocery & pharmacy,1,-2.0
Missouri,Lawrence,Parks,0,
Missouri,Lawrence,Residential,0,11.0
Missouri,Lawrence,Retail & recreation,1,-5.0
Missouri,Lawrence,Transit stations,1,-17.0
Missouri,Lawrence,Workplace,1,-25.0
Missouri,Lewis,Grocery & pharmacy,0,
Missouri,Lewis,Parks,0,
Missouri,Lewis,Residential,0,
Missouri,Lewis,Retail & recreation,0,-14.0
Missouri,Lewis,Transit stations,0,
Missouri,Lewis,Workplace,0,-13.0
Missouri,Lincoln,Grocery & pharmacy,1,-14.0
Missouri,Lincoln,Parks,0,
Missouri,Lincoln,Residential,0,18.0
Missouri,Lincoln,Retail & recreation,1,-40.0
Missouri,Lincoln,Transit stations,0,
Missouri,Lincoln,Workplace,1,-32.0
Missouri,Linn,Grocery & pharmacy,0,-7.0
Missouri,Linn,Parks,0,
Missouri,Linn,Residential,0,
Missouri,Linn,Retail & recreation,1,-19.0
Missouri,Linn,Transit stations,0,
Missouri,Linn,Workplace,0,-7.0
Missouri,Livingston,Grocery & pharmacy,1,-6.0
Missouri,Livingston,Parks,0,
Missouri,Livingston,Residential,0,
Missouri,Livingston,Retail & recreation,1,-15.0
Missouri,Livingston,Transit stations,0,
Missouri,Livingston,Workplace,0,-25.0
Missouri,Macon,Grocery & pharmacy,1,-19.0
Missouri,Macon,Parks,0,
Missouri,Macon,Residential,0,
Missouri,Macon,Retail & recreation,1,-29.0
Missouri,Macon,Transit stations,0,-30.0
Missouri,Macon,Workplace,0,-19.0
Missouri,Madison,Grocery & pharmacy,0,
Missouri,Madison,Parks,0,
Missouri,Madison,Residential,0,
Missouri,Madison,Retail & recreation,1,-5.0
Missouri,Madison,Transit stations,0,
Missouri,Madison,Workplace,0,-22.0
Missouri,Maries,Grocery & pharmacy,0,
Missouri,Maries,Parks,0,
Missouri,Maries,Residential,0,
Missouri,Maries,Retail & recreation,0,
Missouri,Maries,Transit stations,0,
Missouri,Maries,Workplace,0,-21.0
Missouri,Marion,Grocery & pharmacy,1,1.0
Missouri,Marion,Parks,0,
Missouri,Marion,Residential,0,13.0
Missouri,Marion,Retail & recreation,1,-38.0
Missouri,Marion,Transit stations,0,-46.0
Missouri,Marion,Workplace,1,-26.0
Missouri,McDonald,Grocery & pharmacy,1,9.0
Missouri,McDonald,Parks,0,
Missouri,McDonald,Residential,0,-4.0
Missouri,McDonald,Retail & recreation,1,-9.0
Missouri,McDonald,Transit stations,0,
Missouri,McDonald,Workplace,1,-25.0
Missouri,Miller,Grocery & pharmacy,1,3.0
Missouri,Miller,Parks,0,-32.0
Missouri,Miller,Residential,0,-3.0
Missouri,Miller,Retail & recreation,1,-15.0
Missouri,Miller,Transit stations,0,
Missouri,Miller,Workplace,1,-24.0
Missouri,Mississippi,Grocery & pharmacy,0,
Missouri,Mississippi,Parks,0,
Missouri,Mississippi,Residential,0,
Missouri,Mississippi,Retail & recreation,1,-38.0
Missouri,Mississippi,Transit stations,1,-13.0
Missouri,Mississippi,Workplace,0,-16.0
Missouri,Moniteau,Grocery & pharmacy,0,14.0
Missouri,Moniteau,Parks,0,
Missouri,Moniteau,Residential,0,
Missouri,Moniteau,Retail & recreation,1,-18.0
Missouri,Moniteau,Transit stations,0,
Missouri,Moniteau,Workplace,0,-25.0
Missouri,Monroe,Grocery & pharmacy,0,
Missouri,Monroe,Parks,0,
Missouri,Monroe,Residential,0,
Missouri,Monroe,Retail & recreation,0,-54.0
Missouri,Monroe,Transit stations,0,
Missouri,Monroe,Workplace,0,-24.0
Missouri,Montgomery,Grocery & pharmacy,0,-8.0
Missouri,Montgomery,Parks,0,
Missouri,Montgomery,Residential,0,
Missouri,Montgomery,Retail & recreation,0,-54.0
Missouri,Montgomery,Transit stations,0,
Missouri,Montgomery,Workplace,0,-18.0
Missouri,Morgan,Grocery & pharmacy,1,23.0
Missouri,Morgan,Parks,0,
Missouri,Morgan,Residential,0,
Missouri,Morgan,Retail & recreation,1,-17.0
Missouri,Morgan,Transit stations,0,
Missouri,Morgan,Workplace,1,-33.0
Missouri,New Madrid,Grocery & pharmacy,1,-4.0
Missouri,New Madrid,Parks,0,
Missouri,New Madrid,Residential,0,
Missouri,New Madrid,Retail & recreation,1,-22.0
Missouri,New Madrid,Transit stations,1,-12.0
Missouri,New Madrid,Workplace,0,-23.0
Missouri,Newton,Grocery & pharmacy,1,-7.0
Missouri,Newton,Parks,0,7.0
Missouri,Newton,Residential,0,13.0
Missouri,Newton,Retail & recreation,1,-27.0
Missouri,Newton,Transit stations,1,-19.0
Missouri,Newton,Workplace,1,-26.0
Missouri,Nodaway,Grocery & pharmacy,1,-10.0
Missouri,Nodaway,Parks,0,
Missouri,Nodaway,Residential,0,
Missouri,Nodaway,Retail & recreation,1,-30.0
Missouri,Nodaway,Transit stations,0,
Missouri,Nodaway,Workplace,1,-16.0
Missouri,Oregon,Grocery & pharmacy,0,4.0
Missouri,Oregon,Parks,0,
Missouri,Oregon,Residential,0,
Missouri,Oregon,Retail & recreation,1,-2.0
Missouri,Oregon,Transit stations,0,
Missouri,Oregon,Workplace,0,-19.0
Missouri,Osage,Grocery & pharmacy,0,-6.0
Missouri,Osage,Parks,0,
Missouri,Osage,Residential,0,
Missouri,Osage,Retail & recreation,0,-47.0
Missouri,Osage,Transit stations,0,
Missouri,Osage,Workplace,0,-26.0
Missouri,Ozark,Grocery & pharmacy,0,
Missouri,Ozark,Parks,0,
Missouri,Ozark,Residential,0,
Missouri,Ozark,Retail & recreation,0,
Missouri,Ozark,Transit stations,0,
Missouri,Ozark,Workplace,0,-17.0
Missouri,Pemiscot,Grocery & pharmacy,1,5.0
Missouri,Pemiscot,Parks,0,
Missouri,Pemiscot,Residential,0,
Missouri,Pemiscot,Retail & recreation,0,-37.0
Missouri,Pemiscot,Transit stations,1,-27.0
Missouri,Pemiscot,Workplace,0,-26.0
Missouri,Perry,Grocery & pharmacy,1,-13.0
Missouri,Perry,Parks,0,
Missouri,Perry,Residential,0,
Missouri,Perry,Retail & recreation,1,-33.0
Missouri,Perry,Transit stations,0,
Missouri,Perry,Workplace,1,-33.0
Missouri,Pettis,Grocery & pharmacy,1,7.0
Missouri,Pettis,Parks,0,
Missouri,Pettis,Residential,0,15.0
Missouri,Pettis,Retail & recreation,1,-27.0
Missouri,Pettis,Transit stations,0,
Missouri,Pettis,Workplace,1,-22.0
Missouri,Phelps,Grocery & pharmacy,1,-17.0
Missouri,Phelps,Parks,0,
Missouri,Phelps,Residential,0,16.0
